"","siteCode","siteName","type","terrain","domainCode","stateCode","latitude","longitude","comids","HAS_WIDTH","streamorde"
"1","ARIK","Arikaree River NEON","CORE","AQUATIC","D10","CO",39.75821,-102.44715,"11722717",TRUE,4
"2","BLWA","Black Warrior River NEON","GRADIENT","AQUATIC","D08","AL",32.54153,-87.79815,"18211220",FALSE,6
"3","BLDE","Blacktail Deer Creek NEON","CORE","AQUATIC","D12","WY",44.95011,-110.58715,"2964310",TRUE,2
"4","BLUE","Blue River NEON","GRADIENT","AQUATIC","D11","OK",34.44422,-96.6242,"698676",FALSE,4
"5","COMO","Como Creek NEON","CORE","AQUATIC","D13","CO",40.03496,-105.54416,"2889452",TRUE,1
"6","CRAM","Crampton Lake NEON","CORE","AQUATIC","D05","WI",46.20967,-89.47369,"11952375",FALSE,1
"7","FLNT","Flint River NEON","GRADIENT","AQUATIC","D03","GA",31.18542,-84.4374,"3424530",TRUE,7
"8","KING","Kings Creek NEON","CORE","AQUATIC","D06","KS",39.10506,-96.60383,"18841314",FALSE,2
"9","BARC","Lake Barco NEON","CORE","AQUATIC","D03","FL",29.67598,-82.00841,"933080204",TRUE,1
"10","SUGG","Lake Suggs NEON","CORE","AQUATIC","D03","FL",29.68778,-82.01775,"933080204",TRUE,1
"11","LECO","LeConte Creek NEON","GRADIENT","AQUATIC","D07","TN",35.69043,-83.50379,"22144520",TRUE,2
"12","LEWI","Lewis Run NEON","GRADIENT","AQUATIC","D02","VA",39.09564,-77.98322,"8444872",TRUE,2
"13","LIRO","Little Rock Lake NEON","GRADIENT","AQUATIC","D05","WI",45.99827,-89.70477,"13344878",TRUE,1
"14","HOPB","Lower Hop Brook NEON","CORE","AQUATIC","D01","MA",42.47194,-72.32953,"7690025",TRUE,2
"15","TOMB","Lower Tombigbee River NEON","GRADIENT","AQUATIC","D08","AL",31.85343,-88.15887,"18548462",NA,NA
"16","MART","Martha Creek NEON","CORE","AQUATIC","D16","WA",45.79084,-121.93379,"24505800",TRUE,2
"17","MAYF","Mayfield Creek NEON","CORE","AQUATIC","D08","AL",32.96037,-87.40769,"18208464",FALSE,2
"18","MCDI","McDiffett Creek NEON","GRADIENT","AQUATIC","D06","KS",38.94586,-96.44302,"3649284",FALSE,3
"19","MCRA","McRae Creek NEON","GRADIENT","AQUATIC","D16","OR",44.2596,-122.16555,"23773423",TRUE,1
"20","POSE","Posey Creek NEON","CORE","AQUATIC","D02","VA",38.89431,-78.14726,"5907047",TRUE,2
"21","PRLA","Prairie Lake NEON","GRADIENT","AQUATIC","D09","ND",47.15909,-99.11388,"11498968",FALSE,1
"22","PRPO","Prairie Pothole NEON","CORE","AQUATIC","D09","ND",47.12984,-99.25315,"11498974",FALSE,1
"23","PRIN","Pringle Creek NEON","CORE","AQUATIC","D11","TX",33.37852,-97.78231,"1306285",FALSE,3
"24","REDB","Red Butte Creek NEON","CORE","AQUATIC","D15","UT",40.78393,-111.79789,"10389446",FALSE,2
"25","SYCA","Sycamore Creek NEON","CORE","AQUATIC","D14","AZ",33.75099,-111.50809,"20440650",TRUE,4
"26","TECR","Teakettle Creek - Watershed 2 NEON","CORE","AQUATIC","D17","CA",36.95593,-119.02736,"22050327",FALSE,1
"27","BIGC","Upper Big Creek NEON","GRADIENT","AQUATIC","D17","CA",37.05972,-119.25755,"22047801",TRUE,2
"28","WALK","Walker Branch NEON","CORE","AQUATIC","D07","TN",35.95738,-84.27925,"22125024",TRUE,1
"29","WLOU","West St Louis Creek NEON","GRADIENT","AQUATIC","D13","CO",39.89137,-105.9154,"1239639",TRUE,1
